Case	r1	r2	r3	r4	m1	m2	m3	m4	dh	Pt	Q	
1	14	5	6	4	1	1	5	3	0.65888	738.8572068	124.7313549	
2	1	12	19	17	3	3	6	1	2.71806	700.9591765	125.395547	
3	13	19	4	7	4	6	6	6	1.61987	689.0593382	125.099436	
4	4	11	8	18	4	4	5	1	-3.72194	974.8133538	124.0636668	
5	7	14	17	16	5	5	1	2	19.71995	595.7883914	126.0528586	
6	6	3	2	9	3	6	6	4	13.13301	589.6054531	125.4431791	
7	5	4	9	19	1	1	5	2	-4.51208	1127.460855	124.090244	
8	3	2	14	5	2	4	1	5	-0.09556	760.0192272	123.9494852	
9	11	8	20	3	5	4	4	6	12.10519	602.3942326	125.8101934	
10	16	17	18	2	2	6	2	3	5.54649	652.50884	125.600102	
11	8	10	7	14	2	3	2	1	-2.14124	898.0977822	124.762096	
12	2	15	13	1	5	3	4	4	9.97391	616.7151856	125.2831501	
13	12	16	5	13	4	2	5	5	4.24360	656.7978971	125.6861807	
14	15	9	16	8	2	2	3	2	8.16078	637.3345941	126.1655763	
15	10	13	15	20	3	5	1	4	17.79460	601.9550373	126.2452555	
16	9	1	10	12	1	2	3	3	16.79508	599.2662348	126.0129876	
17	19	7	11	11	6	5	3	6	13.76432	599.9571611	126.3203511	
18	18	18	3	6	6	2	2	5	16.24261	595.1807173	125.856352	
19	20	6	1	15	6	5	4	3	10.90454	609.9125242	125.7007011	
20	17	20	12	10	4	1	3	4	6.62375	644.0280028	126.255241	
